	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
408	0 17.76 8.879 -14.02 40 -103.4 -78.34 -64.82 145.9 -79.87 -34.88 46.56 -33.39 -2.321 67.41 24.75 -41.11 50.29 -86.22 251.93 81.08 302.69 135.41 135.27 -255.41 -249.1 -33.4 94.39 -159.11
409	0 10.75 7.778 13.2 -50 -25 -91.69 -71.95 37.49 -27.05 -0.1367 -0.6072 -25.32 15.6 84.87 0.2586 35.04 -36.84 -35.23 -324.63 -199.55 -189.82 -201.69 NA -192.29 -96.96 -52.21 419.22 39.95
410	0 0 8.333 -22.85 200 77.78 109.7 9.546 -154.2 219.7 -145.6 28.04 237.8 32.97 -63.52 122.3 -79.22 182.3 154.6 259.57 -251.66 -19.21 -299.35 -254.31 146.08 102.65 173.35 379.99 -234.46
411	0 40.1 38.38 7.56 30 -35.71 -63.01 -73.8 36.79 -29.53 -26.68 80.93 -19.39 34.18 164.5 -82.05 27.56 68.3 -156.1 128.36 286.02 -207.18 -100.71 -315.51 -142.93 26.56 -100.02 72.01 -171.21
412	0 0 28.33 -121.7 120 0 154.1 28.78 45.56 6.609 -197.1 204.8 84.09 -2.125 107 -55.66 -216.4 92.78 18.69 -281.56 128.12 380.29 -310.51 129.99 -7.93 44.87 134.46 429.5 139.03
413	0 5.639 7.82 33.12 210 -32.61 -29.92 -28.92 45.31 33.72 -71.37 46.88 108.2 -108.6 77.8 118.2 2.269 -174 66.82 -209.17 -265.15 -76.84 -79.94 -85.67 237.71 -60.01 305.71 29.93 162.58
414	0 3.61 7.574 -41.48 240 0 98.11 -1.495 -74.73 46.35 -170 -53.95 303.1 -47.12 35.61 124.2 -159.6 -74.03 213.8 237.18 -146.23 166.62 337.03 -106.93 186.33 -303.4 -131.1 -48.83 -231.81
415	0 10.83 3.492 9.041 210 0 19.18 -15.25 -26.75 94.17 -105.3 56.45 214.5 8.294 -87.69 51.6 -81.85 47.73 199.2 49.85 -366.75 10.98 180.37 125.66 -223.37 17.08 237.41 115.28 -60
416	0 5.415 12.32 -15.36 60 -48.39 -91.1 -47.36 -74.87 -73.67 -62.83 28.69 10.04 104.6 187.9 -20.04 -95.14 71.14 3.085 170.29 33.03 128.57 163.72 -10.69 -250.2 -305.54 -295.12 -31.46 138.57
417	0 5.415 20.02 -65.74 180 -93.02 179.2 -10.67 208.7 -159.9 -209.1 199.5 235.2 146.4 53.74 -30.55 -189.3 165.7 193.2 272.9 1.69 76.07 178.63 -82.83 -216.73 -143.96 382.84 226.94 -24.09
418	0 -3.61 3.964 23.37 170 -71.43 26.75 -29.01 175.8 -132.7 -122.4 83.59 182.8 54.62 23.52 -71.62 -129.8 147 153.6 86.9 -169.46 192.07 59.37 -137.38 -159.28 244.71 -94.5 -173.2 27.37
419	0 6.318 5.082 69.38 30 -125 -1.363 -61.11 NA -98.98 15.71 111.3 -10.69 124.6 94.83 -139.4 9.933 162 -39.92 -39.15 138.64 -239.31 251.53 -113.07 -66.11 -129.9 -72.36 126.74 -216.74
420	0 21.22 13.9 114.2 30 -89.29 -80.83 -67.5 101.3 -44.68 -2.455 49.91 -40.08 40.16 110.5 -17.85 30.02 39.42 -76.78 -222.23 -278.31 276.19 -83.97 -170.15 251.39 -151.44 73.16 -6.86 -80.46
421	0 12.61 12.89 1.935 130 -26.32 -66.74 -11.84 67.28 -53.5 -167.2 23.13 37.41 -77.49 3.363 21.88 -124.2 57.98 100.3 -154.85 -97.82 -165.61 -38.24 175.75 186.64 212.38 351.33 104.41 46.97
422	0 24.66 28.78 -32.21 140 12.82 -66.74 -17.41 21.35 60.51 -142.8 47.72 29.09 -36.57 64.22 102.6 -74.42 106.7 -65.87 -211.68 -175.94 367.61 106.25 90.05 152.51 1.35 10.96 286.15 38.31
423	0 -1.526e-05 9.868 -70.72 200 33.33 210.4 32.68 -16.85 61.14 -172.5 71.77 355.7 100.1 -243.7 17.9 -163.6 141.5 169.9 -142.93 210.53 244.99 -171.37 -34.19 164.6 -65.68 125.87 -46.58 34.68
424	0 0 6.757 -66.33 160 12.2 66.88 -0.1707 0.6427 56.43 -107.5 41.79 283.7 -53.69 -167.1 24.38 -82.63 180.9 130.3 -159.64 117.58 19.04 169.39 -330.51 4.88 7.53 253.34 -105.58 -8.9
425	0 15.9 18.08 1.818 140 -12.82 -35.51 -39.43 54.15 25.44 -117.3 111.3 132 39.47 36.1 46.56 -105.2 130.7 42.33 134.89 -275.92 355.05 -186.4 4.6 -2.29 188.06 224.75 493.59 -147.81
426	0 18.64 16.08 31.34 110 0 -18.77 -31.58 48.53 -15.08 -102 48.33 168.6 -61.1 36.1 -47.18 -61.15 146.4 109.4 -4.6 243.62 369.2 -132.15 13.34 -210.73 -325.6 70.76 138.66 -173.16
427	0 14.25 13.88 -14.55 60 -80.65 -80.79 -70.84 96.42 22.26 -34.72 87.57 -23.67 91.34 120 68.02 -42.29 86.43 -48.23 -85.21 -364.94 56.59 -149.7 -320.17 265.5 -302.8 -137.49 243.67 157.18
428	0 21.38 14.07 53.91 80 -15.15 -78.82 -70.84 -62.62 26.24 -11.87 0.9064 -8.629 -29.34 102.2 21.51 35.76 -114.2 -57.81 234 -25.31 -144.2 171.19 -0.81 -154.02 -113.15 66.77 238.99 190.69
429	0 18.87 12.82 18.92 20 -166.7 -13.43 -84.71 154.9 -119.3 9.212 136 -10.7 112.1 23.27 -102.6 46.25 109.1 -87.17 260.22 -336.41 -301.64 -40.1 63.09 57.73 -182.33 297.37 414.32 116.19
430	0 25.26 19.39 48 70 -140.6 -38.44 -74.22 209.1 -116.7 -25.47 124.6 0.2814 87.97 91.87 -64.65 30.17 76.61 -38.67 50.1 -18.11 NA 128.69 46.24 36.92 111.99 -71.31 -238.86 -166.17
431	0 0.2903 6.902 0.5466 180 0 76.42 -16.53 57.13 32.57 -196.9 105.5 187.4 87.24 25.21 -23.5 -182.2 225.3 225.6 -326.31 122.6 340.48 276.52 98.55 -149.63 -107.36 -130.02 548.61 35.97
432	0 -21.2 -17.35 -76.43 170 -23.81 12.51 -6.042 92.86 -52.61 -185.7 38.71 158.8 -17.42 -40.5 -10.59 -122.1 131.3 51.1 208.25 219 -110.97 -17.95 -135.17 -221.88 -105.43 -32 443.37 51.81
433	0 -0.2904 -3.524 -32.35 190 56.82 130.2 30.67 -40.6 131 -171.8 85.99 232.5 71.87 -147.7 22.48 -84.77 245.8 96.71 60.91 -276 50.89 -238.68 -2.39 98.82 -150.74 -295.32 474.17 -158.71
434	0 -24.68 -22.48 -30.85 180 34.88 156.1 62.13 -14.07 31.25 -153.6 9.911 266.2 68.21 23.27 -65.45 -103.2 71.49 196.6 80.95 -294.65 198.36 285.63 291.39 131.71 -79.02 108.64 325.25 -217.01
435	0 -6.702 -12.97 -10.9 190 68.18 5.679 -11.94 -131.2 171.5 -151 92.19 168.5 25.18 -90.25 -24.71 -167.5 51.73 116.4 -63.21 -296.01 -42.35 183.06 -233.03 -266.96 -297.85 -191.75 -216.35 -141.12
436	0 39.54 22.98 65.08 40 -120.7 -16.88 -67.62 107.2 -119.8 11.89 107.8 -15.41 87.32 48.34 -51.78 32.13 124.7 -0.6306 -225.61 -169.92 351.89 280.66 -301.25 122.29 206.92 310.97 291.69 44.6
437	0 32.17 22.5 72.49 50 -66.67 -79.85 -53.7 87.6 -8.442 -10.84 66.19 -42.79 39.21 126.6 13.95 -11.03 69.74 -57.62 -231.68 38.4 -37.58 -14.84 -361.76 -198.77 240.64 -0.08 -18.85 65.03
438	0 -0.6702 2.87 24.87 150 -12.5 -16.88 -25.86 55.59 -9.761 -121.1 99.98 111.4 -29.94 44.27 -96.64 -151.7 97.22 95.12 -199.75 -81.35 177.92 345.29 -157.49 -184.75 174.7 156.93 -204.71 -44.19
439	0 47.57 27.46 55.89 -10 -125 -83.09 -78.46 68.75 -49.6 29.04 14.03 -54.04 23.55 67.11 0.4943 62.9 8.467 -18.34 130.85 -167.37 -217.12 118.44 -147.28 152.58 67.87 -132.08 -19.38 112
440	0 -1.687 -0.8435 -7.174 180 69.77 148.9 35.06 -52.24 139.2 -171.9 77.65 250.5 79.09 -78.37 -0.8432 -177.6 272.8 181.1 -282.06 -111.04 186.71 43.78 -210.95 239.91 -71.33 -210.08 568.11 -1.85
441	0 1.687 4.52 45.85 140 -38.46 -15.94 -26.43 96.41 -54.22 -112.7 63.36 120.1 37.08 -15.3 -51.67 -84.44 68.33 106.9 -102.87 194.7 331.92 63.05 -293.77 58.41 -71.65 230.98 498.56 7.58
442	0 0 3.289 27.07 180 23.26 65.19 -18.29 -15.1 50.68 -124.3 1.921 254.3 6.588 -60.41 37.17 -135.2 NA 168.6 223.84 128.05 -4.26 -148.9 -199.83 -223.44 -300.03 -265.19 -29.22 79.73
443	0 13.06 6.53 -9.126 160 12.2 37.36 -3.784 44.58 17.04 -169.5 60.21 185.9 -11.48 23.4 -28.49 -95.71 176.3 99.99 -167.64 274.2 326.17 182.39 60.62 -171.66 -265.59 245.09 110.01 86.78
444	0 46.64 43.06 78.87 60 -96.77 -52.42 -85.99 51.41 -68.13 7.412 46.58 15.32 33.7 62.01 -157.1 -34.88 7.214 -0.3115 -46.59 48.35 131.54 -130.38 272.41 -97.45 -233.2 -265.92 -63.85 -126.98
445	0 0 3.289 -2.478 140 0 20.3 -27.96 58.34 -15.51 -157.7 84.18 163.6 37.87 -1.25 15.97 -109.7 178.7 57.76 92.91 15.6 361.89 104.08 71.48 -163.04 -110.35 255.45 99.71 -109.39
446	0 27.36 13.68 3.107 180 34.88 64.29 -3.784 -33.61 110.4 -137.2 102 210.6 112.2 -83.41 -3.182 -157.4 105.3 140.7 -127.34 161.4 253.51 -81.01 181.06 -216.49 296.64 -291.78 463.09 -224.88
447	0 -11.93 -0.5314 -40.89 210 21.74 102.7 10.9 -41.17 103.3 -144.8 79.78 226.9 65.87 -135.3 -21.71 -156.1 190.7 149.8 24.79 71.7 -67.12 26.33 153.95 256.12 211.85 48.64 169.29 -193.8
448	0 -3.201 0.2109 -78.46 180 58.14 176.6 44.3 -43.12 73 -173 7.688 300.7 31.87 -137.3 -28.78 -138.5 128.3 193.9 -250.24 82.85 -160.65 -167.46 164 -209.75 140.5 -161.42 -248.48 53.53
449	0 3.201 3.412 -32.61 120 -27.03 65.74 -17.72 82.19 -19.59 -137.9 135.1 180.6 102.2 -46.71 -149.9 -74.52 221.5 44.91 230.17 162.71 -32.69 -47.71 -148.33 187.16 254.95 -163.74 605.94 16.86
450	0 30.12 15.06 18.93 60 -129 -36.69 -57.46 120.8 -187.2 -82.83 69.37 22.93 70.88 59.04 -180.5 -71.15 106.2 64.6 -44.75 106.55 -49.3 -206.49 309.36 -258.97 284 358.58 258.7 -234.99
451	0 -9.797 -0.9921 18.77 140 -12.82 26.68 -18.82 63.33 -29.19 -135.9 107 199.1 61.74 40.87 -66.18 -74.57 152.2 115.6 -122.53 119.73 -289.05 -256.54 229.9 113.18 255.53 -189.84 547.38 -155.13
452	0 17.78 20.61 -54.67 140 12.82 50.78 -14.52 44.9 11.48 -189.5 100.5 207.8 54.11 60.96 -107.9 -134.4 179.5 161.7 38.17 -14.74 -213.95 128.57 -147.61 249.98 240.85 66.67 -58.18 -91.27
453	0 42.45 32.95 5.737 30 -160.7 -36.69 -78.92 132.3 -137.3 -27.61 66.86 15.22 87.66 55.22 -165.8 -1.086 137.8 -24.68 -226.26 -198.72 -30.49 -3.1 50.22 305.49 70.91 104.68 428.27 33.94
454	0 -19.23 -21.33 -20.76 210 10.87 93.63 49.87 -8.563 -39.64 -250.4 -172.8 184.2 -58.72 278.1 -111.7 -225 3.515 226.9 -337.21 181.1 180.87 313.93 319.22 -256.49 299.3 96.25 86.31 -40.41
455	0 -2.551 -1.276 -47.6 50 -133.3 -15.27 -64.42 96.75 -92.99 -7.185 107.7 -30.39 93.81 99.48 -58.13 -16.29 139.6 -34.23 154.81 196.8 277.78 186.95 -195.38 -203.8 94.64 166.62 -174.8 -28.83
456	0 -26.15 -19.17 -69.02 140 -38.46 127.6 -12.74 80.77 56.67 -16.61 206 106.1 -38.36 -189.2 83.57 -33.2 187.1 39.62 -114.96 -173.29 -216.22 -21.07 101.48 279.73 -330.27 -27.05 355.66 -113.34
457	0 -12.76 -15.52 -27.43 240 -10.2 53.66 -12.74 -7.822 98.5 -138.2 89.33 233.5 67.05 -102.5 103 -173.3 103.5 129.3 150.58 -61.08 NA 146.03 -339.02 195.88 289.13 -96.94 -229.42 -99.15
458	0 -3.189 -4.643 3.698 100 -14.29 -17.27 -40.93 70.88 -2.841 -119 134.7 108.3 56.51 11.74 -78.38 -46.1 262.1 27.71 179.5 170.35 314.69 -73.23 77.11 -40.15 -38.01 -172.94 -90.26 96.77
459	0 NA 14.39 -49.7 30 -89.29 -41.25 -59.72 80.67 -99.47 -41.02 73.81 -34.88 39.48 122.9 -122.8 -5.171 114 -46.94 115.83 125.62 405.03 -193.8 -201.37 210.08 -63.77 -43.01 45.8 132.71
460	0 8.514 5.8 29.45 30 -53.57 -32.79 -68 -17.97 30.44 22.82 75.54 -24.72 42.3 56.87 -4.564 45.75 66.4 -83.42 195.54 186.01 -122.24 208.68 -335.87 0.73 83.29 -250.46 451.94 -90.67
461	0 -12.13 -13.78 0.1277 190 0 11.22 -1.695 -1.733 22.9 -151.5 25.5 262.2 15.55 -63.33 -67.94 -165.9 43.16 179.1 243.22 -226.59 399.05 202.18 116.97 41.93 -256.89 -211.12 -55.6 107.23
462	0 -16.25 -9.67 -12.17 180 23.26 47.9 -1.695 -63.05 70.96 -106 48.53 257.9 -12.31 -94.82 56.13 -88.11 130.3 151.4 -16.27 123.25 -22.85 -272.89 83.76 -19.57 -123.87 321.95 446.49 46.69
463	0 12.2 0.3326 13.21 220 42.55 3.595 -11.8 -122 185.1 -125.7 7.963 249.2 -103.3 -42.25 51.41 -87.31 -64.49 162.8 103.42 -198.97 80.7 87 91.96 -203.25 138.8 -162.43 211.13 129.33
464	0 4.533 19.57 -46.99 10 -76.92 -21.16 -58.32 24.22 -59.49 -12.76 73.68 -53.08 94.74 190 -69.41 -19.29 41.55 -155.4 -56.95 -9.87 297.73 334.9 -95.85 205.94 -176.1 106.74 598.23 182.36
465	0 26.85 26.89 82.64 30 -71.43 -45.92 -73.82 32.99 -52.03 -27.6 86.25 -0.3819 117.4 100.9 -26.85 20.11 117.8 -84.02 -300.28 -194.84 -213.31 17.02 -131.38 273.2 -9.86 -176.77 -210.03 -135.03
466	0 -14.99 -9.42 -18.69 120 -40.54 -87.51 -42.81 -47.1 11.13 -5.785 -40.04 -85.28 -130.4 114.7 66.51 -85.9 -17.05 62.55 -124.85 279.31 -117.61 141.62 -73.31 247.56 4.94 -73.08 544.45 -117.71
467	0 -28.94 -16.39 -46.95 120 -67.57 -28.09 -32.47 121.4 -58.92 -83.87 64.53 127.7 -46.34 36.21 26.7 -64.32 193.2 41.34 -199.44 267.37 292.94 157.83 -162.53 322.33 163.91 -155.86 516.43 -198.78
468	0 22.55 9.606 41.97 90 -117.6 -87.79 -56.5 128 -172.5 -104 54.5 -33.05 19.46 2.106 -24.14 -101.5 18.5 79.26 58.95 166.18 91.44 50.01 -272.09 265.28 -242.58 -238.43 440 -232.46
469	0 39.58 38.12 61.17 90 -102.9 -29.09 -56.5 123.6 -78.85 -22.82 96.82 27.79 44.05 85.72 -95.7 -68.04 79.93 -103.1 -239.99 104.09 -295.43 -119.77 -6.31 -184.75 156.97 331.47 21.13 -99.07
470	0 -2.004 7.331 36.09 110 -13.89 -56.38 -31.09 45.26 13.54 -97.2 87.55 95.56 32.95 130.9 23.57 -49.89 114.3 -56.69 -197.86 250.48 -94.1 308.02 87.11 31.85 177.29 72.05 -205.14 152.53
471	0 2.004 2.669 -30.81 190 34.09 -4.292 -18.38 -13.49 72.27 -156.3 98.56 277.3 33.74 -134.4 53.03 -118 175 69.01 -144.04 -200.31 -110.59 194.65 -118.45 -62.88 136.89 142.98 -176.59 209.23
472	0 18.06 24.18 38.4 30 -71.43 -61.84 -42.75 42.83 21.52 -23.79 99.26 -19.41 40.78 120.9 8.409 -33.71 77 -72.76 -200.17 -34.88 10.63 129.74 -239.8 -78.85 -145.26 368.33 38.11 -140.43
473	0 -18.06 6.122 58.23 190 -11.36 -1.286 -20.09 61.05 48.79 -165.7 60 215.5 38.55 38.21 26.85 -210 -62.72 107.3 -309.71 -265.44 -161.17 136.48 253.16 202.93 -85.09 226.25 309.02 130.93
474	0 0 11.36 -7.292 160 -36.59 -93.6 -38.22 57.06 31.44 -92.04 102.1 58.47 29.64 34.95 65.63 -89.94 38.82 44.78 -188.33 174.75 -216.35 -324.51 -329.56 183.95 131.4 -61.89 -228.91 -240.27
475	0 20.88 36.96 26.84 60 -80.65 -40 -56.34 97.08 -144.6 -46.41 79.63 13.59 37.44 73.03 -86.32 -10.37 63.98 -41.51 -25.05 42.78 -35.7 -27.94 -109.35 -190 -322.14 -327.87 116.14 161.75
476	0 -12.93 -13.61 -23.52 150 25 51.29 15.59 -45.97 131 -117 117.1 252.1 14.97 -5.055 41.04 -128.1 114.8 117.7 228.19 94.59 179.55 36.4 63.98 158.13 -246.53 -19.22 289.63 -81.26
477	0 13.65 10.4 -37.12 130 13.16 -7.958 -16.5 -57.57 38.77 -152.6 -35.41 214.8 -5.097 54.62 16.67 -128.8 180.3 102.6 -225.18 5.25 14.76 -18.46 -90.01 191.98 42.3 -249.31 28.9 194.56
478	0 23.71 19 31.45 60 -96.77 -35.73 -43.25 150.2 -103.9 -64.09 105.2 -15.92 40.05 125.4 -90 -32.1 121.2 -34.12 -110.79 198.43 216.05 176.86 -19.88 115.98 -176.96 76.23 143.42 -38.65
479	0 36.64 29.03 15.31 70 -93.75 -50.54 -48.6 135.9 -52.69 -44.96 81.48 -25.23 23.75 166.2 -3.741 -9.587 99.98 -67.5 25.98 -282.34 240.26 -102.55 10.04 -96.55 120.05 118.96 353.41 219.15
480	0 12.21 6.106 7.33 110 0 -69.06 -21.85 -53.56 33.25 -100.9 12.87 79.17 -57.77 153 -34.03 -76.72 94.44 61.24 289.38 -208.45 -58.5 -201.05 -179.98 -129.88 284.51 164.15 176.25 -142.06
481	0 13.85 18.64 -14.06 120 -67.57 -35.24 -26.35 84.84 -55.4 -136.7 58.74 101.3 -38.34 144.4 -68.79 -107.1 86.03 122.4 296.03 16.93 265.04 -4.18 -213.32 51.76 64.2 79.08 171.18 67.08
482	0 36.92 26.27 4.15 120 -40.54 -8.175 -26.35 96.93 -29.11 -124.1 102.2 159.3 139.4 -37.72 44.67 -77.13 88.88 149.8 -174.44 -121.21 -240.07 162.09 6.87 -60.11 -261.09 -135.48 220.05 -78.9
483	0 83.85 69.27 -81.04 20 -203.7 44.26 -58.15 48.01 -131.5 40.22 88.19 -75.29 91.17 172.3 -87.96 -26.47 53.27 -35.66 -94.98 -227.53 153.72 258.99 226.27 306.77 -134.12 -16.8 413.14 -153.83
484	0 42.31 32.87 -79.21 170 -23.81 -16.63 5.452 13.4 58.04 -161.5 91 112.1 -129.1 0.8136 -1.957 -158.2 28.35 91.06 -23.82 -282.21 -210.72 -330.72 -298.53 112.18 -149.86 -197.1 -127.73 125.37
485	0 55.79 48.05 -60.16 40 -51.72 -50.64 -46.16 30.33 -33.91 -38.41 79.74 -21.16 58.4 232.1 -20.05 -10.34 85.19 -141 -174.43 -305.9 397.67 293.93 127.69 -210.31 -310.54 -21.04 569.1 4.95
486	0 0.4132 8.271 -59.74 130 0 97.12 2.373 84.47 44.62 -171.2 215.1 219.1 117.4 -48.02 69.46 -124.7 222.6 122 165.18 79.03 318.02 237.84 -358.27 -227.55 260.09 225.66 581.42 96.56
487	0 3.719 9.924 -73.34 140 -12.82 99.13 21.79 28.78 48.27 -196 176.4 198.7 160.6 149.3 25.43 -157 192.8 146.4 77.31 224.72 -239.94 209.85 164.05 307.57 48.63 -254.33 -164.17 65.19
488	0 34.3 25.21 47.53 50 -66.67 -16.46 -51.01 195.3 -114.3 -79.78 86.83 95.64 6.56 41.59 -112.5 -12.8 92.64 -72.71 -261.2 221.97 -185.57 -120.64 -17.06 126.79 75.06 368.65 550.96 105.11
489	0 7.851 -0.1066 50.38 140 0 -52.65 -12.19 21.14 -26.61 -151.5 10.14 143.6 -90.64 -11.72 19.65 -194.7 11.52 132.9 57.65 -123.51 -41.89 -204.12 161.16 142.14 91.58 -130.21 444.88 131.36
490	0 -1.586 2.256 58.62 110 -13.89 -107.1 -37.67 33 71.76 -69.29 44.61 -11.09 4.11 122.2 77.88 -89.18 71.88 2.704 -26.77 135.39 127.83 74.92 -212.12 79.49 0.5 204.02 505.92 -126.43
491	0 -1.526e-05 -7.629e-06 6.322 140 25.64 27.78 -13.57 13.04 39.22 -126.8 82.01 217.4 94.44 -136.1 -5.51 -69.98 147.5 98.76 -143.85 87.68 128.3 215.61 -92.3 -193.59 255.59 -322.15 237.2 19.26
492	0 -21.67 -13.88 -53.69 110 -69.44 -64.61 -45.71 -4.177 -29.05 -13.46 28.24 5.485 NA 87.81 -69.71 -99.23 40.43 49.13 -88.84 74.48 -196.22 8.21 -144.31 293.46 -311.2 -171.64 -245.93 -143.44
493	0 5.245 6.095 -16.12 160 12.2 15.95 -24.86 43.98 7.92 -157.9 83.83 212.7 54.37 -74.09 1.386 -135.3 158.6 67.59 249.63 168.5 -123.97 -265.32 -169.71 -254.12 -112.4 -180.84 306.97 -81.46
494	0 2.448 8.168 -34.73 150 -12.5 -69 -41.91 27.5 16.81 -91.28 45.58 46.98 -98.37 149.2 16.57 -87.42 21.41 -28.7 -156.71 -99.38 310.16 280.74 306.39 249.06 -34.73 116.26 -107.96 25.27
495	0 7.343 7.144 -29.74 190 34.09 96.8 -2.131 -28.04 46.21 -138.5 40.56 297.9 30.2 -92.09 -1.506 -138.9 44.52 256.7 -321.43 47.45 -278.33 344.68 -153.32 38.11 -302.88 274.6 436.15 -140.09
496	0 12.24 9.591 -6.274 110 13.89 -24.99 -13.5 46.42 83.13 -104.2 152.2 47.59 26.9 122.2 12.95 -118 151.6 16.01 -18.15 -37.33 50.6 -93.96 54.93 8.97 -73.33 96.58 317.33 -226.26
497	0 36.01 31.9 59.73 60 -48.39 -76.16 -76.01 97.93 -91.22 -55.5 83.83 -7.843 11.52 111.4 -73.81 -44.57 84.43 -59.65 -89.48 147.19 110.45 -203.06 138.95 -64.17 255.36 204.79 30.91 155.99
498	0 24.13 25.95 50.69 50 -50 -38.29 -70.33 59.48 -122 -44.46 89.47 14.7 13.71 112.3 -115.7 -28.16 150.2 39.39 -10.97 -195.43 133.16 237.35 4.69 34.2 115.02 -9.25 320.34 -43.27
499	0 0 0 34.5 30 -71.43 -76.16 -62.95 57.31 -27.19 -11.54 33.15 -40.11 39.1 112.6 -66.29 29.62 62.67 -36.06 -96.88 -267.41 -162.19 -2.6 -92.15 -199.31 56.89 160.51 585.91 -44.76
500	0 15.24 4.497 45 80 -60.61 -105 -73.84 4.398 -33.78 -17.88 -15.07 -21.12 4.405 68.18 -58.75 -42.68 35.63 -6.652 -331.13 -351.55 343.5 181.21 97.76 4.64 240.16 191.17 520.56 -131.57
501	0 7.927 13.34 14.32 160 0 -37.43 -41.17 -22.06 115.2 -36.91 63.6 24.12 -68.15 99.93 128.6 11.77 61.82 49.27 237.59 -167.13 -249.88 318.15 0.47 -172.83 74.26 -233.42 -194.91 137.53
502	0 -1.829 2.21 -46.81 210 21.74 89.33 7.836 -45.62 74.54 -81.3 30.11 216.4 -28.72 -194.5 -61.07 -78.37 70.27 190 276.62 186.6 391.36 313.96 75.2 -41.94 143.56 -148.04 160.51 -144.04
503	0 -9.146 -4.573 43.58 100 -28.57 -68.41 -46.62 51.78 -2.058 -73.09 41.78 24.52 -18.46 110.2 43.31 -83.41 59.29 29.67 -190.6 183.56 -6.44 -22.6 -322.34 145.72 10.27 130.76 514.95 -17.43
504	0 -7.317 -3.659 -131.9 240 -10.2 139.3 NA -8.501 87.71 -129.8 64.62 247.5 54.88 -156.4 112.9 -142.4 158.1 159.4 116.05 88.14 -296.49 -153.87 233.87 -158.93 164.04 -259.97 158.27 -157.59
505	0 23.71 29.22 -36.81 20 -37.04 -66.33 -47.26 36.87 -56.14 -75.32 51.69 -68.82 83.66 203.4 -44.41 -1.354 83.69 -82.23 216.48 181.12 -107.54 -115.8 -242.58 -41.48 -248.59 168.3 191.9 -33.33
506	0 1.526e-05 1.526e-05 50.69 140 0 9.524 -26.1 55.53 -2.968 -117.5 17.15 229.5 41.39 -27.41 58.99 -84.4 77.28 135.2 -113.65 -305.5 -94.36 289.24 4.44 245.95 -298.1 15.7 -47.78 136.74
507	0 8.808 14.82 -16.86 160 0 -25.56 -26.1 3.801 54.74 -117.5 93.14 100.3 -3.635 49.19 -21.85 -112.2 45.28 97.28 -103.09 303.39 88.38 -114.67 -346.46 172.4 -52.05 277.33 -123.16 -32.62
508	0 6.098 16.94 7.955 150 -25 30.38 -26.1 89.79 -9.452 -141.9 105.8 148 11.07 70.08 -12.45 -149.3 82.09 99.43 -257.11 -356.11 -191.61 270.03 -313.68 -55.38 124.55 306.72 -28.17 136.24
509	0 39.3 40.48 -78.61 60 -80.65 1.938 -41.97 118.8 -80.13 -66.22 154.2 -60.24 104.8 168.6 -22.48 -4.206 173.3 -100.8 -143.11 -2.3 -14.74 184.2 253.93 72.44 77.34 368.77 253.15 -86.81
510	0 15.58 11.26 17.71 150 -12.5 18.06 -20.81 40.71 50.2 -111.3 74.72 209.9 66.2 -62.23 121 -102.2 136.5 72.25 290.75 261.52 138.73 -83.48 207.14 -228.76 -186.89 -323.11 232.75 99.42
511	0 47.24 36.12 157 30 -53.57 -104.5 -62.09 60.58 18.5 -29.58 66.52 -37.46 32.98 86.81 39.44 1.203 38.9 -55.28 -190.26 211.97 406.66 -44.51 -146.94 -88.81 162.3 315.96 316.07 -115.25
512	0 13.78 19.39 -80.03 160 -60.98 13 -27.51 134.3 -35.1 -144.5 191.4 77.1 24.01 4.501 -0.515 -122.2 129.3 6.854 -174.66 141.53 309.17 -116.81 149.5 -134.99 -247.25 170.87 608.16 -181.6
513	0 24.93 24.97 134.9 30 -125 -22.76 -62.09 5.067 -73.57 23.94 66.52 -23.33 121.8 12.22 -51.8 NA 110.5 6.854 -211.52 -203.15 -188.84 324.84 -166.32 -89.9 -144.84 362.98 238.61 23.81
514	0 -18.37 -12.31 -46.74 230 31.25 30.88 -33.8 -77.49 87.24 -131.8 46.57 265.3 41.14 -81.23 63.29 -101.1 48.75 237.2 -232.74 104.33 165.25 160.58 272.89 104.37 -309.98 -238.78 417.01 -99.47
515	0 -11.94 -5.969 -7.213 160 -12.2 37.7 -5.96 24.59 25.44 -152.2 31.2 273.8 60.73 -11.08 124.4 -156.8 109.9 258.5 275.42 39.74 240.73 -216.38 108.73 23.14 289.76 -167.99 577.22 -28.78
516	0 -4.916 -6.364 22.85 130 52.63 -55.2 -11.04 -52.34 78.38 -105.8 44.2 141 NA 20.49 -18.73 -71.68 81.06 -39.27 185.5 -355.91 372.92 264.11 7.1 300.13 152.18 122.59 -233.99 -191.9
517	0 -7.022 -11.32 53.03 160 48.78 27.38 4.194 -60.25 101.4 -100.7 31.2 245.2 -62.82 -67.46 104.4 -38.47 83.69 138.6 209.59 -358.58 -287.36 19.15 -0.92 150.73 -113.72 85.1 522.73 -106.85
518	0 63.9 47.58 6.04 20 -55.56 -106.8 -66.89 -8.517 -33.07 -43.77 84.58 -80.51 69.55 132.1 -36.32 5.803 116.1 -61.29 286.1 -280.31 56.8 111.33 281.4 -258.08 -96.73 149.87 -141.11 188.15
